M;cardinality;g_set
{{Ø, Ø, Ø}, {01, 02, 12}};3;{0, 1, 2}
{{Ø, Ø, Ø}, {01, 12, 02}};3;{0, 1, 2}
{{Ø, Ø, Ø}, {02, 01, 12}};3;{0, 1, 2}
{{Ø, Ø, Ø}, {02, 12, 01}};3;{0, 1, 2}
{{Ø, Ø, Ø}, {12, 01, 02}};3;{0, 1, 2}
{{Ø, Ø, Ø}, {12, 02, 01}};3;{0, 1, 2}
{{Ø, Ø, 0}, {01, 02, 12}};2;{1, 2}
{{Ø, Ø, 0}, {01, 12, 02}};2;{1, 2}
{{Ø, Ø, 0}, {02, 01, 12}};2;{1, 2}
{{Ø, Ø, 0}, {02, 12, 01}};2;{1, 2}
{{Ø, Ø, 0}, {12, 01, 02}};2;{1, 2}
{{Ø, Ø, 0}, {12, 02, 01}};2;{1, 2}
{{Ø, Ø, 1}, {01, 02, 12}};2;{0, 2}
{{Ø, Ø, 1}, {01, 12, 02}};2;{0, 2}
{{Ø, Ø, 1}, {02, 01, 12}};2;{0, 2}
{{Ø, Ø, 1}, {02, 12, 01}};2;{0, 2}
{{Ø, Ø, 1}, {12, 01, 02}};2;{0, 2}
{{Ø, Ø, 1}, {12, 02, 01}};2;{0, 2}
{{Ø, Ø, 2}, {01, 02, 12}};2;{0, 1}
{{Ø, Ø, 2}, {01, 12, 02}};2;{0, 1}
{{Ø, Ø, 2}, {02, 01, 12}};2;{0, 1}
{{Ø, Ø, 2}, {02, 12, 01}};2;{0, 1}
{{Ø, Ø, 2}, {12, 01, 02}};2;{0, 1}
{{Ø, Ø, 2}, {12, 02, 01}};2;{0, 1}
{{Ø, Ø, 01}, {Ø, 02, 12}};3;{0, 1, 2}
{{Ø, Ø, 01}, {Ø, 12, 02}};3;{0, 1, 2}
{{Ø, Ø, 01}, {0, 2, 12}};2;{0, 1}
{{Ø, Ø, 01}, {0, 02, 12}};3;{0, 1, 2}
{{Ø, Ø, 01}, {0, 12, 02}};3;{0, 1, 2}
{{Ø, Ø, 01}, {1, 2, 02}};1;{0}
{{Ø, Ø, 01}, {1, 02, 2}};2;{0, 2}
{{Ø, Ø, 01}, {1, 02, 12}};2;{0, 2}
{{Ø, Ø, 01}, {1, 12, 02}};2;{0, 2}
{{Ø, Ø, 01}, {2, 0, 12}};1;{1}
{{Ø, Ø, 01}, {2, 1, 02}};2;{0, 1}
{{Ø, Ø, 01}, {2, 02, 1}};1;{0}
{{Ø, Ø, 01}, {2, 02, 12}};2;{0, 1}
{{Ø, Ø, 01}, {2, 12, 02}};2;{0, 1}
{{Ø, Ø, 01}, {01, 02, 12}};3;{0, 1, 2}
{{Ø, Ø, 01}, {01, 12, 02}};3;{0, 1, 2}
{{Ø, Ø, 01}, {02, Ø, 12}};3;{0, 1, 2}
{{Ø, Ø, 01}, {02, 0, 12}};2;{1, 2}
{{Ø, Ø, 01}, {02, 1, 12}};3;{0, 1, 2}
{{Ø, Ø, 01}, {02, 2, 12}};2;{0, 1}
{{Ø, Ø, 01}, {02, 01, 12}};3;{0, 1, 2}
{{Ø, Ø, 01}, {02, 02, 12}};3;{0, 1, 2}
{{Ø, Ø, 01}, {02, 12, Ø}};3;{0, 1, 2}
{{Ø, Ø, 01}, {02, 12, 0}};2;{1, 2}
{{Ø, Ø, 01}, {02, 12, 1}};2;{0, 2}
{{Ø, Ø, 01}, {02, 12, 2}};3;{0, 1, 2}
{{Ø, Ø, 01}, {02, 12, 01}};3;{0, 1, 2}
{{Ø, Ø, 01}, {02, 12, 02}};3;{0, 1, 2}
{{Ø, Ø, 01}, {02, 12, 12}};3;{0, 1, 2}
{{Ø, Ø, 01}, {02, 12, 012}};3;{0, 1, 2}
{{Ø, Ø, 01}, {02, 012, 12}};3;{0, 1, 2}
{{Ø, Ø, 01}, {12, Ø, 02}};3;{0, 1, 2}
{{Ø, Ø, 01}, {12, 0, 2}};2;{1, 2}
{{Ø, Ø, 01}, {12, 0, 02}};2;{1, 2}
{{Ø, Ø, 01}, {12, 1, 02}};3;{0, 1, 2}
{{Ø, Ø, 01}, {12, 2, 0}};1;{1}
{{Ø, Ø, 01}, {12, 2, 02}};2;{0, 1}
{{Ø, Ø, 01}, {12, 01, 02}};3;{0, 1, 2}
{{Ø, Ø, 01}, {12, 02, Ø}};3;{0, 1, 2}
{{Ø, Ø, 01}, {12, 02, 0}};2;{1, 2}
{{Ø, Ø, 01}, {12, 02, 1}};2;{0, 2}
{{Ø, Ø, 01}, {12, 02, 2}};3;{0, 1, 2}
{{Ø, Ø, 01}, {12, 02, 01}};3;{0, 1, 2}
{{Ø, Ø, 01}, {12, 02, 02}};3;{0, 1, 2}
{{Ø, Ø, 01}, {12, 02, 12}};3;{0, 1, 2}
{{Ø, Ø, 01}, {12, 02, 012}};3;{0, 1, 2}
{{Ø, Ø, 01}, {12, 12, 02}};3;{0, 1, 2}
{{Ø, Ø, 01}, {12, 012, 02}};3;{0, 1, 2}
{{Ø, Ø, 01}, {012, 02, 12}};3;{0, 1, 2}
{{Ø, Ø, 01}, {012, 12, 02}};3;{0, 1, 2}
{{Ø, Ø, 02}, {Ø, 01, 12}};3;{0, 1, 2}
{{Ø, Ø, 02}, {Ø, 12, 01}};3;{0, 1, 2}
{{Ø, Ø, 02}, {0, 01, 12}};3;{0, 1, 2}
{{Ø, Ø, 02}, {0, 12, 1}};2;{0, 2}
{{Ø, Ø, 02}, {0, 12, 01}};3;{0, 1, 2}
{{Ø, Ø, 02}, {1, 2, 01}};1;{0}
{{Ø, Ø, 02}, {1, 01, 2}};2;{0, 2}
{{Ø, Ø, 02}, {1, 01, 12}};2;{0, 2}
{{Ø, Ø, 02}, {1, 12, 0}};1;{2}
{{Ø, Ø, 02}, {1, 12, 01}};2;{0, 2}
{{Ø, Ø, 02}, {2, 1, 01}};2;{0, 1}
{{Ø, Ø, 02}, {2, 01, 1}};1;{0}
{{Ø, Ø, 02}, {2, 01, 12}};2;{0, 1}
{{Ø, Ø, 02}, {2, 12, 01}};2;{0, 1}
{{Ø, Ø, 02}, {01, Ø, 12}};3;{0, 1, 2}
{{Ø, Ø, 02}, {01, 0, 12}};2;{1, 2}
{{Ø, Ø, 02}, {01, 1, 12}};3;{0, 1, 2}
{{Ø, Ø, 02}, {01, 2, 12}};2;{0, 1}
{{Ø, Ø, 02}, {01, 01, 12}};3;{0, 1, 2}
{{Ø, Ø, 02}, {01, 02, 12}};3;{0, 1, 2}
{{Ø, Ø, 02}, {01, 12, Ø}};3;{0, 1, 2}
{{Ø, Ø, 02}, {01, 12, 0}};2;{1, 2}
{{Ø, Ø, 02}, {01, 12, 1}};2;{0, 2}
{{Ø, Ø, 02}, {01, 12, 2}};3;{0, 1, 2}
{{Ø, Ø, 02}, {01, 12, 01}};3;{0, 1, 2}
{{Ø, Ø, 02}, {01, 12, 02}};3;{0, 1, 2}
{{Ø, Ø, 02}, {01, 12, 12}};3;{0, 1, 2}
{{Ø, Ø, 02}, {01, 12, 012}};3;{0, 1, 2}
{{Ø, Ø, 02}, {01, 012, 12}};3;{0, 1, 2}
{{Ø, Ø, 02}, {02, 01, 12}};3;{0, 1, 2}
{{Ø, Ø, 02}, {02, 12, 01}};3;{0, 1, 2}
{{Ø, Ø, 02}, {12, Ø, 01}};3;{0, 1, 2}
{{Ø, Ø, 02}, {12, 0, 1}};1;{2}
{{Ø, Ø, 02}, {12, 0, 01}};2;{1, 2}
{{Ø, Ø, 02}, {12, 1, 0}};2;{1, 2}
{{Ø, Ø, 02}, {12, 1, 01}};3;{0, 1, 2}
{{Ø, Ø, 02}, {12, 2, 01}};2;{0, 1}
{{Ø, Ø, 02}, {12, 01, Ø}};3;{0, 1, 2}
{{Ø, Ø, 02}, {12, 01, 0}};2;{1, 2}
{{Ø, Ø, 02}, {12, 01, 1}};2;{0, 2}
{{Ø, Ø, 02}, {12, 01, 2}};3;{0, 1, 2}
{{Ø, Ø, 02}, {12, 01, 01}};3;{0, 1, 2}
{{Ø, Ø, 02}, {12, 01, 02}};3;{0, 1, 2}
{{Ø, Ø, 02}, {12, 01, 12}};3;{0, 1, 2}
{{Ø, Ø, 02}, {12, 01, 012}};3;{0, 1, 2}
{{Ø, Ø, 02}, {12, 02, 01}};3;{0, 1, 2}
{{Ø, Ø, 02}, {12, 12, 01}};3;{0, 1, 2}
{{Ø, Ø, 02}, {12, 012, 01}};3;{0, 1, 2}
{{Ø, Ø, 02}, {012, 01, 12}};3;{0, 1, 2}
{{Ø, Ø, 02}, {012, 12, 01}};3;{0, 1, 2}
{{Ø, Ø, 12}, {Ø, 01, 02}};3;{0, 1, 2}
{{Ø, Ø, 12}, {Ø, 02, 01}};3;{0, 1, 2}
{{Ø, Ø, 12}, {0, 2, 01}};2;{0, 1}
{{Ø, Ø, 12}, {0, 01, 02}};3;{0, 1, 2}
{{Ø, Ø, 12}, {0, 02, 1}};2;{0, 2}
{{Ø, Ø, 12}, {0, 02, 01}};3;{0, 1, 2}
{{Ø, Ø, 12}, {1, 01, 02}};2;{0, 2}
{{Ø, Ø, 12}, {1, 02, 0}};1;{2}
{{Ø, Ø, 12}, {1, 02, 01}};2;{0, 2}
{{Ø, Ø, 12}, {2, 0, 01}};1;{1}
{{Ø, Ø, 12}, {2, 01, 02}};2;{0, 1}
{{Ø, Ø, 12}, {2, 02, 01}};2;{0, 1}
{{Ø, Ø, 12}, {01, Ø, 02}};3;{0, 1, 2}
{{Ø, Ø, 12}, {01, 0, 2}};2;{1, 2}
{{Ø, Ø, 12}, {01, 0, 02}};2;{1, 2}
{{Ø, Ø, 12}, {01, 1, 02}};3;{0, 1, 2}
{{Ø, Ø, 12}, {01, 2, 0}};1;{1}
{{Ø, Ø, 12}, {01, 2, 02}};2;{0, 1}
{{Ø, Ø, 12}, {01, 01, 02}};3;{0, 1, 2}
{{Ø, Ø, 12}, {01, 02, Ø}};3;{0, 1, 2}
{{Ø, Ø, 12}, {01, 02, 0}};2;{1, 2}
{{Ø, Ø, 12}, {01, 02, 1}};2;{0, 2}
{{Ø, Ø, 12}, {01, 02, 2}};3;{0, 1, 2}
{{Ø, Ø, 12}, {01, 02, 01}};3;{0, 1, 2}
{{Ø, Ø, 12}, {01, 02, 02}};3;{0, 1, 2}
{{Ø, Ø, 12}, {01, 02, 12}};3;{0, 1, 2}
{{Ø, Ø, 12}, {01, 02, 012}};3;{0, 1, 2}
{{Ø, Ø, 12}, {01, 12, 02}};3;{0, 1, 2}
{{Ø, Ø, 12}, {01, 012, 02}};3;{0, 1, 2}
{{Ø, Ø, 12}, {02, Ø, 01}};3;{0, 1, 2}
{{Ø, Ø, 12}, {02, 0, 1}};1;{2}
{{Ø, Ø, 12}, {02, 0, 01}};2;{1, 2}
{{Ø, Ø, 12}, {02, 1, 0}};2;{1, 2}
{{Ø, Ø, 12}, {02, 1, 01}};3;{0, 1, 2}
{{Ø, Ø, 12}, {02, 2, 01}};2;{0, 1}
{{Ø, Ø, 12}, {02, 01, Ø}};3;{0, 1, 2}
{{Ø, Ø, 12}, {02, 01, 0}};2;{1, 2}
{{Ø, Ø, 12}, {02, 01, 1}};2;{0, 2}
{{Ø, Ø, 12}, {02, 01, 2}};3;{0, 1, 2}
{{Ø, Ø, 12}, {02, 01, 01}};3;{0, 1, 2}
{{Ø, Ø, 12}, {02, 01, 02}};3;{0, 1, 2}
{{Ø, Ø, 12}, {02, 01, 12}};3;{0, 1, 2}
{{Ø, Ø, 12}, {02, 01, 012}};3;{0, 1, 2}
{{Ø, Ø, 12}, {02, 02, 01}};3;{0, 1, 2}
{{Ø, Ø, 12}, {02, 12, 01}};3;{0, 1, 2}
{{Ø, Ø, 12}, {02, 012, 01}};3;{0, 1, 2}
{{Ø, Ø, 12}, {12, 01, 02}};3;{0, 1, 2}
{{Ø, Ø, 12}, {12, 02, 01}};3;{0, 1, 2}
{{Ø, Ø, 12}, {012, 01, 02}};3;{0, 1, 2}
{{Ø, Ø, 12}, {012, 02, 01}};3;{0, 1, 2}
{{Ø, Ø, 012}, {01, 02, 12}};3;{0, 1, 2}
{{Ø, Ø, 012}, {01, 12, 02}};3;{0, 1, 2}
{{Ø, Ø, 012}, {02, 01, 12}};3;{0, 1, 2}
{{Ø, Ø, 012}, {02, 12, 01}};3;{0, 1, 2}
{{Ø, Ø, 012}, {12, 01, 02}};3;{0, 1, 2}
{{Ø, Ø, 012}, {12, 02, 01}};3;{0, 1, 2}
{{Ø, 0, Ø}, {01, 02, 12}};2;{1, 2}
{{Ø, 0, Ø}, {01, 12, 02}};2;{1, 2}
{{Ø, 0, Ø}, {02, 01, 12}};2;{1, 2}
{{Ø, 0, Ø}, {02, 12, 01}};2;{1, 2}
{{Ø, 0, Ø}, {12, 01, 02}};2;{1, 2}
{{Ø, 0, Ø}, {12, 02, 01}};2;{1, 2}
{{Ø, 0, 0}, {01, 02, 12}};2;{1, 2}
{{Ø, 0, 0}, {01, 12, 02}};2;{1, 2}
{{Ø, 0, 0}, {02, 01, 12}};2;{1, 2}
{{Ø, 0, 0}, {02, 12, 01}};2;{1, 2}
{{Ø, 0, 0}, {12, 01, 02}};2;{1, 2}
{{Ø, 0, 0}, {12, 02, 01}};2;{1, 2}
{{Ø, 0, 1}, {Ø, 02, 12}};1;{2}
{{Ø, 0, 1}, {Ø, 12, 02}};1;{2}
{{Ø, 0, 1}, {0, 2, 12}};1;{1}
{{Ø, 0, 1}, {0, 02, 12}};1;{2}
{{Ø, 0, 1}, {0, 12, 02}};1;{2}
{{Ø, 0, 1}, {1, 2, 02}};1;{0}
{{Ø, 0, 1}, {1, 02, 2}};1;{2}
{{Ø, 0, 1}, {1, 02, 12}};1;{2}
{{Ø, 0, 1}, {1, 12, 02}};1;{2}
{{Ø, 0, 1}, {2, 0, 12}};1;{0}
{{Ø, 0, 1}, {2, 02, 1}};1;{0}
{{Ø, 0, 1}, {2, 02, 12}};1;{0}
{{Ø, 0, 1}, {2, 12, 02}};1;{0}
{{Ø, 0, 1}, {01, 02, 12}};1;{2}
{{Ø, 0, 1}, {01, 12, 02}};1;{2}
{{Ø, 0, 1}, {02, Ø, 12}};1;{2}
{{Ø, 0, 1}, {02, 0, 12}};1;{2}
{{Ø, 0, 1}, {02, 1, 12}};1;{2}
{{Ø, 0, 1}, {02, 2, 12}};1;{0}
{{Ø, 0, 1}, {02, 01, 12}};1;{2}
{{Ø, 0, 1}, {02, 02, 12}};1;{2}
{{Ø, 0, 1}, {02, 12, Ø}};1;{2}
{{Ø, 0, 1}, {02, 12, 0}};1;{2}
{{Ø, 0, 1}, {02, 12, 1}};1;{2}
{{Ø, 0, 1}, {02, 12, 2}};1;{2}
{{Ø, 0, 1}, {02, 12, 01}};1;{2}
{{Ø, 0, 1}, {02, 12, 02}};1;{2}
{{Ø, 0, 1}, {02, 12, 12}};1;{2}
{{Ø, 0, 1}, {02, 12, 012}};1;{2}
{{Ø, 0, 1}, {02, 012, 12}};1;{2}
